"","River","trap_location","trap_opened","trap_closed","Updated","spp_raw","cnt","spp","spp_id","river_id","trap_id","cnt_id"
"212","Aroostook","Tinker Dam","July 2",NA,2020-07-30 20:00:00,"Striped.Bass",0,"Striped Bass",5,2,11,"2-5-11-2020-07-31"
"213","Kennebec","Benton Falls","May 1",NA,2020-07-22 20:00:00,"Striped.Bass",0,"Striped Bass",5,3,2,"3-5-2-2020-07-23"
"214","Kennebec","Lockwood Dam","May 1",NA,2020-08-02 20:00:00,"Striped.Bass",347,"Striped Bass",5,3,3,"3-5-3-2020-08-03"
"215","Narraguagus","Cherryfield","April 29",NA,2020-08-02 20:00:00,"Striped.Bass",0,"Striped Bass",5,4,4,"4-5-4-2020-08-03"
"216","Penobscot","Milford fish lift","April 22",NA,2020-07-26 20:00:00,"Striped.Bass",298,"Striped Bass",5,5,5,"5-5-5-2020-07-27"
"217","Penobscot","Orono","April 22",NA,2020-07-26 20:00:00,"Striped.Bass",0,"Striped Bass",5,5,6,"5-5-6-2020-07-27"
"218","Penobscot","Weldon Dam","April 30",NA,2020-07-26 20:00:00,"Striped.Bass",0,"Striped Bass",5,5,7,"5-5-7-2020-07-27"
"219","St. Croix","Milltown Dam","April 15",NA,2020-07-24 20:00:00,"Striped.Bass",0,"Striped Bass",5,7,9,"7-5-9-2020-07-25"
"220","Union","Ellsworth","May 1",NA,2020-07-26 20:00:00,"Striped.Bass",0,"Striped Bass",5,8,10,"8-5-10-2020-07-27"
"221","Androscoggin","Brunswick","June 1",NA,2020-08-02 20:00:00,"Sea.Lamprey",41,"Sea Lamprey",6,1,1,"1-6-1-2020-08-03"
"222","Aroostook","Tinker Dam","July 2",NA,2020-07-30 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,2,11,"2-6-11-2020-07-31"
"223","Kennebec","Benton Falls","May 1",NA,2020-07-22 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,3,2,"3-6-2-2020-07-23"
"224","Kennebec","Lockwood Dam","May 1",NA,2020-08-02 20:00:00,"Sea.Lamprey",45,"Sea Lamprey",6,3,3,"3-6-3-2020-08-03"
"225","Narraguagus","Cherryfield","April 29",NA,2020-08-02 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,4,4,"4-6-4-2020-08-03"
"226","Penobscot","Milford fish lift","April 22",NA,2020-07-26 20:00:00,"Sea.Lamprey",5566,"Sea Lamprey",6,5,5,"5-6-5-2020-07-27"
"227","Penobscot","Orono","April 22",NA,2020-07-26 20:00:00,"Sea.Lamprey",1028,"Sea Lamprey",6,5,6,"5-6-6-2020-07-27"
"228","Penobscot","Weldon Dam","April 30",NA,2020-07-26 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,5,7,"5-6-7-2020-07-27"
"229","St. Croix","Milltown Dam","April 15",NA,2020-07-24 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,7,9,"7-6-9-2020-07-25"
"230","Union","Ellsworth","May 1",NA,2020-07-26 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,8,10,"8-6-10-2020-07-27"
