"","River","trap_location","trap_opened","trap_closed","Updated","spp_raw","cnt","spp","spp_id","river_id","trap_id","cnt_id"
"106","Kennebec","Lockwood Dam","May 1",NA,2020-07-12 20:00:00,"Striped.Bass",344,"Striped Bass",5,3,3,"3-5-3-2020-07-13"
"107","Narraguagus","Cherryfield","April 29",NA,2020-07-11 20:00:00,"Striped.Bass",0,"Striped Bass",5,4,4,"4-5-4-2020-07-12"
"108","Penobscot","Milford fish lift","April 22",NA,2020-07-12 20:00:00,"Striped.Bass",229,"Striped Bass",5,5,5,"5-5-5-2020-07-13"
"109","Penobscot","Orono","April 22",NA,2020-07-12 20:00:00,"Striped.Bass",0,"Striped Bass",5,5,6,"5-5-6-2020-07-13"
"110","Penobscot","Weldon Dam","April 30",NA,2020-07-12 20:00:00,"Striped.Bass",0,"Striped Bass",5,5,7,"5-5-7-2020-07-13"
"111","Union","Ellsworth","May 1",NA,2020-07-12 20:00:00,"Striped.Bass",0,"Striped Bass",5,8,10,"8-5-10-2020-07-13"
"112","Androscoggin","Brunswick","June 1",NA,2020-07-12 20:00:00,"Sea.Lamprey",41,"Sea Lamprey",6,1,1,"1-6-1-2020-07-13"
"113","Kennebec","Lockwood Dam","May 1",NA,2020-07-12 20:00:00,"Sea.Lamprey",45,"Sea Lamprey",6,3,3,"3-6-3-2020-07-13"
"114","Narraguagus","Cherryfield","April 29",NA,2020-07-11 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,4,4,"4-6-4-2020-07-12"
"115","Penobscot","Milford fish lift","April 22",NA,2020-07-12 20:00:00,"Sea.Lamprey",5566,"Sea Lamprey",6,5,5,"5-6-5-2020-07-13"
"116","Penobscot","Orono","April 22",NA,2020-07-12 20:00:00,"Sea.Lamprey",1028,"Sea Lamprey",6,5,6,"5-6-6-2020-07-13"
"117","Penobscot","Weldon Dam","April 30",NA,2020-07-12 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,5,7,"5-6-7-2020-07-13"
"118","Union","Ellsworth","May 1",NA,2020-07-12 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,8,10,"8-6-10-2020-07-13"
"119","Aroostook","Tinker Dam","July 2",NA,2020-07-16 20:00:00,"Am.Shad",0,"American Shad",1,2,11,"2-1-11-2020-07-17"
"120","Narraguagus","Cherryfield","April 29",NA,2020-07-18 20:00:00,"Am.Shad",780,"American Shad",1,4,4,"4-1-4-2020-07-19"
"121","St. Croix","Milltown Dam","April 15",NA,2020-07-10 20:00:00,"Am.Shad",3,"American Shad",1,7,9,"7-1-9-2020-07-11"
"122","Aroostook","Tinker Dam","July 2",NA,2020-07-16 20:00:00,"At.Salmon..MSW.",1,"Atlantic Salmon (MSW)",2,2,11,"2-2-11-2020-07-17"
"123","Narraguagus","Cherryfield","April 29",NA,2020-07-18 20:00:00,"At.Salmon..MSW.",87,"Atlantic Salmon (MSW)",2,4,4,"4-2-4-2020-07-19"
"124","St. Croix","Milltown Dam","April 15",NA,2020-07-10 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,7,9,"7-2-9-2020-07-11"
"125","Aroostook","Tinker Dam","July 2",NA,2020-07-16 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,2,11,"2-3-11-2020-07-17"
"126","Narraguagus","Cherryfield","April 29",NA,2020-07-18 20:00:00,"At.Salmon..grilse.",13,"Atlantic Salmon (Grilse)",3,4,4,"4-3-4-2020-07-19"
"127","St. Croix","Milltown Dam","April 15",NA,2020-07-10 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,7,9,"7-3-9-2020-07-11"
"128","Aroostook","Tinker Dam","July 2",NA,2020-07-16 20:00:00,"River.Herring",0,"River Herring",4,2,11,"2-4-11-2020-07-17"
"129","Narraguagus","Cherryfield","April 29",NA,2020-07-18 20:00:00,"River.Herring",0,"River Herring",4,4,4,"4-4-4-2020-07-19"
"130","St. Croix","Milltown Dam","April 15",NA,2020-07-10 20:00:00,"River.Herring",610595,"River Herring",4,7,9,"7-4-9-2020-07-11"
"131","Aroostook","Tinker Dam","July 2",NA,2020-07-16 20:00:00,"Striped.Bass",0,"Striped Bass",5,2,11,"2-5-11-2020-07-17"
"132","Narraguagus","Cherryfield","April 29",NA,2020-07-18 20:00:00,"Striped.Bass",0,"Striped Bass",5,4,4,"4-5-4-2020-07-19"
"133","St. Croix","Milltown Dam","April 15",NA,2020-07-10 20:00:00,"Striped.Bass",0,"Striped Bass",5,7,9,"7-5-9-2020-07-11"
"134","Aroostook","Tinker Dam","July 2",NA,2020-07-16 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,2,11,"2-6-11-2020-07-17"
"135","Narraguagus","Cherryfield","April 29",NA,2020-07-18 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,4,4,"4-6-4-2020-07-19"
"136","St. Croix","Milltown Dam","April 15",NA,2020-07-10 20:00:00,"Sea.Lamprey",0,"Sea Lamprey",6,7,9,"7-6-9-2020-07-11"
"137","Androscoggin","Brunswick","June 1",NA,2020-07-19 20:00:00,"Am.Shad",23,"American Shad",1,1,1,"1-1-1-2020-07-20"
"138","Kennebec","Lockwood Dam","May 1",NA,2020-07-19 20:00:00,"Am.Shad",180,"American Shad",1,3,3,"3-1-3-2020-07-20"
"139","Penobscot","Milford fish lift","April 22",NA,2020-07-19 20:00:00,"Am.Shad",11209,"American Shad",1,5,5,"5-1-5-2020-07-20"
"140","Penobscot","Orono","April 22",NA,2020-07-19 20:00:00,"Am.Shad",2,"American Shad",1,5,6,"5-1-6-2020-07-20"
"141","Penobscot","Weldon Dam","April 30",NA,2020-07-19 20:00:00,"Am.Shad",0,"American Shad",1,5,7,"5-1-7-2020-07-20"
"142","Union","Ellsworth","May 1",NA,2020-07-19 20:00:00,"Am.Shad",0,"American Shad",1,8,10,"8-1-10-2020-07-20"
"143","Androscoggin","Brunswick","June 1",NA,2020-07-19 20:00:00,"At.Salmon..MSW.",4,"Atlantic Salmon (MSW)",2,1,1,"1-2-1-2020-07-20"
"144","Kennebec","Lockwood Dam","May 1",NA,2020-07-19 20:00:00,"At.Salmon..MSW.",46,"Atlantic Salmon (MSW)",2,3,3,"3-2-3-2020-07-20"
"145","Penobscot","Milford fish lift","April 22",NA,2020-07-19 20:00:00,"At.Salmon..MSW.",1425,"Atlantic Salmon (MSW)",2,5,5,"5-2-5-2020-07-20"
"146","Penobscot","Orono","April 22",NA,2020-07-19 20:00:00,"At.Salmon..MSW.",3,"Atlantic Salmon (MSW)",2,5,6,"5-2-6-2020-07-20"
"147","Penobscot","Weldon Dam","April 30",NA,2020-07-19 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,5,7,"5-2-7-2020-07-20"
"148","Union","Ellsworth","May 1",NA,2020-07-19 20:00:00,"At.Salmon..MSW.",3,"Atlantic Salmon (MSW)",2,8,10,"8-2-10-2020-07-20"
"149","Androscoggin","Brunswick","June 1",NA,2020-07-19 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,1,1,"1-3-1-2020-07-20"
"150","Kennebec","Lockwood Dam","May 1",NA,2020-07-19 20:00:00,"At.Salmon..grilse.",4,"Atlantic Salmon (Grilse)",3,3,3,"3-3-3-2020-07-20"
"151","Penobscot","Orono","April 22",NA,2020-07-19 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,6,"5-3-6-2020-07-20"
